priority,site_name,slug,base_url
101.36106025364846,TaylorAndFrancis,taylor_francis,
20.16922612182061,Intellect,intellect,
12.5,FAPESP,fapesp,
12.5,ChinesePhysicalSociety,chinese_physical_society,
12.5,ChemicalResearchSocietyofIndia,chemical_research_society_of_india,
12.5,GujaratStateJudicialAcademy,gujarat_state_judicial_academy,
12.5,EditorialUniversitariaAbyaYala,editorial_universitaria_abya_yala,
12.5,ChapingoAutonomousUniversity,chapingo_autonomous_university,
12.5,ElColegiodelaFronteraSur,el_colegio_de_la_frontera_sur,
12.5,AriadnaEdiciones,ariadna_ediciones,
12.5,EastChinaNormalUniversityPress,east_china_normal_university_press,
12.5,EdicionesUnisalle,ediciones_unisalle,
12.5,EditorialUniversitariadeBuenosAires,editorial_universitaria_de_buenos_aires,
12.5,BibliotecaNacionaldeBrasil,biblioteca_nacional_de_brasil,
12.5,CEDiUNNOBA,cedi_unnoba,
12.5,ElColegioMexiquense,el_colegio_mexiquense,
12.5,BeijingLanguageandCultureUniversityPress,beijing_language_and_culture_university_press,
12.5,FAPERJ,faperj,
12.5,EditoraUFRJ,editora_ufrj,
12.5,EditorialUniversitaria,editorial_universitaria,
12.5,DongbeiUniversityofFinanceandEconomicsPress,dongbei_university_of_finance_and_economics_press,
12.5,AndalasUniversityPress,andalas_university_press,
12.5,EdicionesISALUD,ediciones_isalud,
12.5,EditoraUFPR,editora_ufpr,
12.5,CSIRNIScPR,csir_niscpr,
12.5,CIFORICRAF,cifor_icraf,
12.5,FACEPE,facepe,
12.5,ChiangMaiUniversityPress,chiang_mai_university_press,
12.5,CentrodePublicacionesdelaPUCE,centro_de_publicaciones_de_la_puce,
12.5,AssamAgriculturalUniversityPublications,assam_agricultural_university_publications,
12.5,HarbinInstituteofTechnologyPress,harbin_institute_of_technology_press,
12.5,FAPEMA,fapema,
12.5,BeijingNormalUniversityPress,beijing_normal_university_press,
12.5,CENEPArgentina,cenep_argentina,
12.5,HokkaidoUniversityPress,hokkaido_university_press,
12.5,FAPESB,fapesb,
12.5,BibliotecaNacionaldeColombia,biblioteca_nacional_de_colombia,
12.5,GeologicalSocietyofIndia,geological_society_of_india,
12.5,ChinaSocialSciencesPressCSSP,china_social_sciences_press_cssp,http://www.csspw.com.cn/
12.5,FujianNormalUniversityPress,fujian_normal_university_press,
12.5,FAPEAM,fapeam,
12.5,EUDECOEditora,eudeco_editora,
12.5,EditorialNeogranadina,editorial_neogranadina,
12.5,ChineseAcademyofSciences,chinese_academy_of_sciences,
12.5,ConsejoLatinoamericanodeCienciasSociales,consejo_latinoamericano_de_ciencias_sociales,
12.5,FLACSOEcuador,flacso_ecuador,
12.5,HimalayanResearchandCulturalFoundation,himalayan_research_and_cultural_foundation,
12.5,FuJenCatholicUniversityPress,fu_jen_catholic_university_press,
12.5,CINDEColombia,cinde_colombia,
12.5,BrazilianNationalArchives,brazilian_national_archives,
12.5,FAPEMIG,fapemig,
12.5,ChinaRenminUniversityPress,china_renmin_university_press,
12.5,HuazhongUniversityofScienceandTechnologyPress,huazhong_university_of_science_and_technology_press,
12.5,EditorialAbyaYala,editorial_abya_yala,
12.5,EditoradaUnicamp,editora_da_unicamp,
12.5,FAPESC,fapesc,
12.5,ChulalongkornUniversityPress,chulalongkorn_university_press,
12.5,INDEC,indec_argentina,https://www.indec.gob.ar
12.5,BeihangUniversityPress,beihang_university_press,
12.5,FUNCAP,funcap,
12.5,ChemicalSocietyofJapan,chemical_society_of_japan,
12.5,HigherEducationPress,higher_education_press,
12.5,EditorialGuadalupe,editorial_guadalupe,
12.5,GuangxiNormalUniversityPress,guangxi_normal_university_press,
12.5,EditoradaUFSC,editora_da_ufsc,
12.5,EditorialUNICEN,editorial_unicen,
12.5,ForeignLanguageTeachingandResearchPressFLTRP,foreign_language_teaching_and_research_press_fltrp,
12.5,GBPUATPublications,gbpuat_publications,
12.5,HunanNormalUniversityPress,hunan_normal_university_press,
12.5,EditorialAgrosavia,editorial_agrosavia,
12.5,INEChile,ine_chile,https://www.ine.gob.cl
12.5,EditorialUniversitariaUCCuyo,editorial_universitaria_uccuyo,
12.5,DANEColombia,dane_colombia,
5.054651081081644,NationalUniversityofDistanceEducation,national_university_of_distance_education,
3.0,ZoologicalSocietyofNigeria,zoological_society_of_nigeria,
3.0,Sabinet,sabinet,
3.0,CentreforLegalIntegrationinAfrica,centre_for_legal_integration_in_africa,
3.0,CapeObservatoryPublications,cape_observatory_publications,
3.0,InternationalInstituteofTropicalAgriculture,international_institute_of_tropical_agriculture,
