territory,platform,seller_id,title,author,condition,price,listing_url,timestamp,seller_comments
India,Book Share,moha,Hityytfg,"Yjg,ttiultk6k",For Reference,For Reference,https://bookshare.wiktait.com/book/629,2026-05-03T20:45:24.631652,Bgftg
India,Book Share,Leo Tech,Born a crime,Trevor Noah,Free to Share,Free to Share,https://bookshare.wiktait.com/book/628,2026-05-03T20:45:24.638470,First edition
India,Book Share,gherbi,Love yourself,Meriem gherbi,Free to Share,Free to Share,https://bookshare.wiktait.com/book/627,2026-05-03T20:45:24.638578,
India,Book Share,فلاح,جنات فلاح حسن,جنات,For Reference,For Reference,https://bookshare.wiktait.com/book/617,2026-05-03T20:45:24.638652,12
India,Book Share,Tuoppi,Halo,"Master Chief, Keyes, Cortana",For Sale,For Sale,https://bookshare.wiktait.com/book/569,2026-05-03T20:45:24.638720,Special
India,Book Share,Cik rose,The Dark Night With The Moon: The Last Magician,Cik Rose,For Reference,For Reference,https://bookshare.wiktait.com/book/552,2026-05-03T20:45:24.638784,
India,Book Share,aungsoemoe,Manusari,Min Thein Kha,Free to Share,Free to Share,https://bookshare.wiktait.com/book/549,2026-05-03T20:45:24.638850,
India,Book Share,المطيري,اغسطس,,Free to Share,Free to Share,https://bookshare.wiktait.com/book/538,2026-05-03T20:45:24.638959,
India,Book Share,luke,Captain underpants,Duk pikley,Free to Share,Free to Share,https://bookshare.wiktait.com/book/534,2026-05-03T20:45:24.639029,The terrifying return of tippy tinkle trouser
India,Book Share,Gigio,Uma história com mil macacos,Ruth Rocha,Free to Share,Free to Share,https://bookshare.wiktait.com/book/525,2026-05-03T20:45:24.639090,
India,Book Share,Gigio,The Slant Book,Peter Newell,Free to Share,Free to Share,https://bookshare.wiktait.com/book/524,2026-05-03T20:45:24.639154,1
India,Book Share,Gigio,Animal Farm: a Fairy Story,George Orwell,Free to Share,Free to Share,https://bookshare.wiktait.com/book/523,2026-05-03T20:45:24.639213,
India,Book Share,Gigio,The Very Nearly Honorable League of Pirates: The Terror of the Southlands.,Caroline Carlson,Free to Share,Free to Share,https://bookshare.wiktait.com/book/522,2026-05-03T20:45:24.639272,
