territory,platform,seller_id,title,author,condition,price,listing_url,timestamp,seller_comments
Pakistan,Kitabain,,the complete maus: a survivor's tale,Art Spiegelman,,PKR 1550.00,https://www.kitabain.com/booksdetail/Comics-Graphic-Novels/The-Complete-Maus--A-Survivor-s-Tale-221698,2026-05-02T04:26:03.579596,
Pakistan,Kitabain,,"sadequain ""the holy sinner """,Mohatta palace museum,,PKR 102000.00,https://www.kitabain.com/booksdetail/Biography-Autobiography-Memoirs/sadequain--the-holy-sinner---221697,2026-05-02T04:26:03.580022,
Pakistan,Kitabain,,sham e saher ki batien,Dr shabeha ul hasan,,PKR 1100.00,https://www.kitabain.com/booksdetail/Islamic-Books/Sham-e-saher-ki-batien-221696,2026-05-02T04:26:03.580248,
Pakistan,Kitabain,,dash and lily's book of dares,Rachel Cohn and David Levithan,,PKR 650.00,https://www.kitabain.com/booksdetail/Children-Young-Adults/dash-and-lily-s-book-of-dares-221687,2026-05-02T04:26:03.580498,
Pakistan,Kitabain,,lily alone,Jacqueline Wilson,,PKR 620.00,https://www.kitabain.com/booksdetail/Children-Young-Adults/lily-alone-221686,2026-05-02T04:26:03.580724,
Pakistan,Kitabain,,bestfriends,Jacqueline Wilson,,PKR 480.00,https://www.kitabain.com/booksdetail/Children-Young-Adults/bestfriends-221685,2026-05-02T04:26:03.580924,
Pakistan,Kitabain,,cookie,Jacqueline Wilson,,PKR 550.00,https://www.kitabain.com/booksdetail/Children-Young-Adults/Cookie-221684,2026-05-02T04:26:03.581121,
Pakistan,Kitabain,,"the dare game , a tracy beaker story",Jacqueline Wilson,,PKR 500.00,https://www.kitabain.com/booksdetail/Children-Young-Adults/the-dare-game---a-tracy-beaker-story-221683,2026-05-02T04:26:03.581327,
Pakistan,Kitabain,,secrets,Jacqueline Wilson,,PKR 480.00,https://www.kitabain.com/booksdetail/Children-Young-Adults/secrets-221682,2026-05-02T04:26:03.581544,
Pakistan,Kitabain,,the language of ehsas: a collection on identi...,Sasha Zuberi,,PKR 2300.00,https://www.kitabain.com/booksdetail/Poetry-Plays/The-Language-of-Ehsas--A-Collection-on-Identity--Faith--and-Belonging-221681,2026-05-02T04:26:03.581879,
Pakistan,Kitabain,,new oxford modern english third edition,"Nicholas horseburge, Clai...",,PKR 1050.00,https://www.kitabain.com/booksdetail/English-Literature/New-Oxford-modern-English-third-edition-221667,2026-05-02T04:26:03.582200,
Pakistan,Kitabain,,federal board class 10 biology guide,National Book Foundation ...,,PKR 1000.00,https://www.kitabain.com/booksdetail/Biography-Autobiography-Memoirs/Federal-board-class-10-biology-guide-221666,2026-05-02T04:26:03.582525,
Pakistan,Kitabain,,bd chaurasia's human anatomy volume 1 upper l...,Dr BD Chaurasia's,,PKR 1100.00,https://www.kitabain.com/booksdetail/Textbooks--Medical-/BD-Chaurasia-s-Human-anatomy-Volume-1-Upper-limb-Thorax-221664,2026-05-02T04:26:03.582841,
Pakistan,Kitabain,,snells clinical anatomy,Lawrence E. Wineski,,PKR 1100.00,https://www.kitabain.com/booksdetail/Textbooks--Medical-/Snells-Clinical-Anatomy-221663,2026-05-02T04:26:03.583040,
Pakistan,Kitabain,,nishtar basic physiology mini guyton,M kashif Faizan Ahmed,,PKR 1200.00,https://www.kitabain.com/booksdetail/Textbooks--Medical-/nishtar-basic-physiology-mini-guyton-221662,2026-05-02T04:26:03.583224,
Pakistan,Kitabain,,mazahib al islam,Molvi Muhammad Najam,,PKR 900.00,https://www.kitabain.com/booksdetail/Islamic-Books/mazahib-al-islam-221660,2026-05-02T04:26:03.583408,
Pakistan,Kitabain,,how to sell art online,Ali,,PKR 799.00,https://www.kitabain.com/booksdetail/Biography-Autobiography-Memoirs/how-to-sell-art-online-221659,2026-05-02T04:26:03.583598,
Pakistan,Kitabain,,how to sell on etsy,Ali,,PKR 800.00,https://www.kitabain.com/booksdetail/Business---Economics/How-to-sell-on-etsy-221658,2026-05-02T04:26:03.583785,
