territory,platform,seller_id,title,author,condition,price,listing_url,timestamp,seller_comments
India,NearBook,,little kids big book of space,Catherine D Hughes,0,INR 500,https://nearbook.app/book/3922091,2026-05-03T18:54:06.687106,
India,NearBook,,maths chaya class 11,chaya,0,INR 600,https://nearbook.app/book/3922090,2026-05-03T18:54:07.008405,
India,NearBook,,santra biology class 11 sem 1 and 2,santra,0,INR 500,https://nearbook.app/book/3922089,2026-05-03T18:54:07.315154,
India,NearBook,,little kids first big book for animals,Catherine D. Hughes,0,INR 500,https://nearbook.app/book/3922088,2026-05-03T18:54:07.621997,
India,NearBook,,business management 2,,0,INR 30,https://nearbook.app/book/3922087,2026-05-03T18:54:07.935254,
India,NearBook,,class 10 science ncert,,0,INR 140,https://nearbook.app/book/3922086,2026-05-03T18:54:08.232812,
India,NearBook,,marketing Management 2,,0,INR 50,https://nearbook.app/book/3922085,2026-05-03T18:54:08.544039,
India,NearBook,,advanced accounting 1,,0,INR 300,https://nearbook.app/book/3922084,2026-05-03T18:54:08.851069,
India,NearBook,,little kids first big book for why,Amy shields,0,INR 500,https://nearbook.app/book/3922083,2026-05-03T18:54:09.142027,
India,NearBook,,business communication 2,,0,INR 100,https://nearbook.app/book/3922082,2026-05-03T18:54:09.464885,
India,NearBook,,fundamental of marketting 2,,0,INR 50,https://nearbook.app/book/3922081,2026-05-03T18:54:09.755635,
India,NearBook,,business economics,,0,INR 50,https://nearbook.app/book/3922080,2026-05-03T18:54:10.079661,
India,NearBook,,arjuna jee modules full set,pw,0,INR 1500,https://nearbook.app/book/3922079,2026-05-03T18:54:11.717863,
India,NearBook,,elements of company law 2,,0,INR 90,https://nearbook.app/book/3922078,2026-05-03T18:54:12.025817,
India,NearBook,,Anupam,ansh yadav,0,INR 200,https://nearbook.app/book/3922077,2026-05-03T18:54:12.336985,
India,NearBook,,elements of company law,,0,INR 90,https://nearbook.app/book/3922076,2026-05-03T18:54:12.639642,
India,NearBook,,Hindi Oswal sample paper,Oswal Ai,0,INR 349,https://nearbook.app/book/3922075,2026-05-03T18:54:12.929854,
India,NearBook,,business economics,,0,INR 50,https://nearbook.app/book/3922074,2026-05-03T18:54:13.253777,
India,NearBook,,corporate accounting 2,,0,INR 220,https://nearbook.app/book/3922073,2026-05-03T18:54:13.561121,
India,NearBook,,biology,"Salman 
Salman",0,INR 500,https://nearbook.app/book/3922072,2026-05-03T18:54:13.868302,
India,NearBook,,Oswal book,Oswal Ai,0,INR 449,https://nearbook.app/book/3922070,2026-05-03T18:54:14.176945,
India,NearBook,,Oswal book,Oswal Ai,0,INR 449,https://nearbook.app/book/3922069,2026-05-03T18:54:14.483051,
India,NearBook,,Oswal sample paper,Oswal Ai,0,INR 499,https://nearbook.app/book/3922067,2026-05-03T18:54:14.790615,
India,NearBook,,Saraswati PHYSICAL EDUCATION(2025),D R V K SHARMA,0,INR 400,https://nearbook.app/book/3922066,2026-05-03T18:54:15.097126,
India,NearBook,,IPMAT - NUMBER SYSTEM & ARITHMETIC,INDRAJEET SINGH,0,INR 200,https://nearbook.app/book/3922065,2026-05-03T18:54:16.737075,
India,NearBook,,IPMAT - LOGICAL REASONING,INDRAJEET SINGH,0,INR 250,https://nearbook.app/book/3922064,2026-05-03T18:54:17.028547,
India,NearBook,,corporate accounting,,0,INR 320,https://nearbook.app/book/3922063,2026-05-03T18:54:17.355150,
India,NearBook,,business communication,,0,INR 120,https://nearbook.app/book/3922062,2026-05-03T18:54:17.646554,
India,NearBook,,IPMAT - DATA INTERPRETATION,INDRAJEET SINGH,0,INR 200,https://nearbook.app/book/3922061,2026-05-03T18:54:17.964366,
India,NearBook,,Social science,,0,INR 150,https://nearbook.app/book/3922059,2026-05-03T18:54:18.271555,
India,NearBook,,business management,,0,INR 60,https://nearbook.app/book/3922058,2026-05-03T18:54:18.578721,
